"id","capacity","modcountry","extmajor","extminor"
"spoletoAmphitheater","","Italy",115.0,85.0
"aquaeNeriAmphitheater",3926.0,"France",70.0,50.0
"aureliumCommodianumAmphitheater","","Tunisia",65.0,55.0
"jebelMorabaAmphitheater","","Tunisia",65.0,55.0
"faleroneAmphitheater","","Italy",88.8,80.0
"fermoAmphitheater","","Italy",88.8,80.0
"frosinoneAmphitheater","","Italy",78.0,57.0
"ruggeAmphitheater","","Italy",83.0,66.0
"egnaziaAmphitheater","","Italy","",""
"canosaAmphitheater","","Italy",138.0,106.0
"sipontoAmphitheater","","Italy",138.0,106.0
"chietiAmphitheater","","Italy","",""
"teanoAmphitheater","","Italy","",""
"henchirDuomaAmphitheater","","Tunisia",55.0,43.0
"ainToungaAmphitheater",3000.0,"Tunisia",56.0,46.0
"aleriaAmphitheater",1200.0,"France",39.6,34.0
"volterraAmphitheater",10000.0,"Italy",80.0,60.0
"vastoAmphitheater","","Italy",80.0,60.0
"suasaAmphitheater","","Italy",99.0,75.0
"pollenzoAmphitheater","","Italy",120.0,93.0
"vercelliAmphitheater","","Italy",120.0,93.0
"sanGiovanniAmphitheater","","Italy",120.0,93.0
"megiddoAmphitheater","","Israel",70.0,50.0
"suessaAruncaAmphitheater","","Italy",70.0,50.0
"altripaldaAmphitheater","","Italy",70.0,50.0
"compsaAmphitheater","","Italy",70.0,50.0
"yorkAmphitheater","","United Kingdom",70.0,50.0
"barcelonaAmphitheater","","Spain",70.0,50.0
"istanbulAmphitheater","","Turkey",70.0,50.0
"chichesterAmphitheater","","United Kingdom",70.0,60.0
"reggioEmiliaAmphitheater","","Italy",70.0,60.0
"tharrosAmphitheater","","Italy",50.0,46.0
